Time,Event,PatientID,Deadline,EmergencyStatus,PatientType
1000.0,UNFINISHED,1,inf,False,Naive_Patient
233.0,DEAD,2,inf,False,Emergence_Patient
64.0,DEAD,3,inf,False,Emergence_Patient
99.0,DEAD,5,inf,False,Emergence_Patient
167.0,DEAD,6,inf,False,Emergence_Patient
323.0,DEAD,7,inf,False,Emergence_Patient
282.0,DEAD,8,inf,False,Emergence_Patient
220.0,DEAD,9,inf,False,Emergence_Patient
197.0,DEAD,10,inf,False,Emergence_Patient
127.0,DEAD,11,inf,False,Emergence_Patient
195.0,DEAD,12,inf,False,Emergence_Patient
345.0,DEAD,13,inf,False,Emergence_Patient
202.0,DEAD,15,inf,False,Emergence_Patient
213.0,DEAD,16,inf,False,Emergence_Patient
191.0,DEAD,17,inf,False,Emergence_Patient
252.0,DEAD,19,inf,False,Emergence_Patient
298.0,DEAD,20,inf,False,Emergence_Patient
253.0,DEAD,22,inf,False,Emergence_Patient
314.0,DEAD,23,inf,False,Emergence_Patient
284.0,DEAD,24,inf,False,Emergence_Patient
301.0,DEAD,25,inf,False,Emergence_Patient
330.0,DEAD,29,inf,False,Emergence_Patient
325.0,DEAD,30,inf,False,Emergence_Patient
334.0,DEAD,31,inf,False,Emergence_Patient
458.0,DEAD,32,inf,False,Emergence_Patient
454.0,DEAD,34,inf,False,Emergence_Patient
420.0,DEAD,36,inf,False,Emergence_Patient
408.0,DEAD,37,inf,False,Emergence_Patient
759.0,DEAD,39,inf,False,Emergence_Patient
606.0,DEAD,40,inf,False,Emergence_Patient
525.0,DEAD,41,inf,False,Emergence_Patient
468.0,DEAD,42,inf,False,Emergence_Patient
490.0,DEAD,45,inf,False,Emergence_Patient
529.0,DEAD,46,inf,False,Emergence_Patient
517.0,DEAD,48,inf,False,Emergence_Patient
522.0,DEAD,50,inf,False,Emergence_Patient
607.0,DEAD,51,inf,False,Emergence_Patient
597.0,DEAD,52,inf,False,Emergence_Patient
689.0,DEAD,53,inf,False,Emergence_Patient
664.0,DEAD,54,inf,False,Emergence_Patient
556.0,DEAD,55,inf,False,Emergence_Patient
590.0,DEAD,56,inf,False,Emergence_Patient
568.0,DEAD,57,inf,False,Emergence_Patient
602.0,DEAD,58,inf,False,Emergence_Patient
609.0,DEAD,60,inf,False,Emergence_Patient
629.0,DEAD,61,inf,False,Emergence_Patient
652.0,DEAD,62,inf,False,Emergence_Patient
623.0,DEAD,63,inf,False,Emergence_Patient
734.0,DEAD,65,inf,False,Emergence_Patient
665.0,DEAD,67,inf,False,Emergence_Patient
914.0,DEAD,69,inf,False,Emergence_Patient
781.0,DEAD,70,inf,False,Emergence_Patient
880.0,DEAD,71,inf,False,Emergence_Patient
809.0,DEAD,73,inf,False,Emergence_Patient
774.0,DEAD,74,inf,False,Emergence_Patient
769.0,DEAD,75,inf,False,Emergence_Patient
827.0,DEAD,76,inf,False,Emergence_Patient
763.0,DEAD,77,inf,False,Emergence_Patient
894.0,DEAD,78,inf,False,Emergence_Patient
808.0,DEAD,79,inf,False,Emergence_Patient
924.0,DEAD,82,inf,False,Emergence_Patient
940.0,DEAD,85,inf,False,Emergence_Patient
873.0,DEAD,89,inf,False,Emergence_Patient
948.0,DEAD,90,inf,False,Emergence_Patient
1000.0,UNFINISHED,91,inf,False,Emergence_Patient
919.0,DEAD,93,inf,False,Emergence_Patient
969.0,DEAD,95,inf,False,Emergence_Patient
931.0,DEAD,96,inf,False,Emergence_Patient
970.0,DEAD,100,inf,False,Emergence_Patient
