Time,QueueLength,QueueStatus
0.0,0,[]
1.0,0,[]
2.0,0,[]
3.0,0,[]
4.0,0,[]
5.0,0,[]
6.0,0,[]
7.0,0,[]
8.0,0,[]
9.0,0,[]
10.0,0,[]
11.0,0,[]
12.0,0,[]
13.0,1,"[(1, 'Emergence_Patient', 50)]"
13.0,1,"[(1, 'Emergence_Patient', 50)]"
14.0,1,"[(1, 'Emergence_Patient', 50)]"
15.0,1,"[(1, 'Emergence_Patient', 50)]"
16.0,1,"[(1, 'Emergence_Patient', 50)]"
17.0,1,"[(1, 'Emergence_Patient', 50)]"
18.0,1,"[(1, 'Emergence_Patient', 50)]"
19.0,1,"[(1, 'Emergence_Patient', 50)]"
20.0,2,"[(1, 'Emergence_Patient', 50), (2, 'Emergence_Patient', 190)]"
20.0,2,"[(1, 'Emergence_Patient', 50), (2, 'Emergence_Patient', 190)]"
21.0,2,"[(1, 'Emergence_Patient', 50), (2, 'Emergence_Patient', 190)]"
21.8,1,"[(2, 'Emergence_Patient', 190)]"
22.0,1,"[(2, 'Emergence_Patient', 190)]"
23.0,1,"[(2, 'Emergence_Patient', 190)]"
24.0,1,"[(2, 'Emergence_Patient', 190)]"
25.0,1,"[(2, 'Emergence_Patient', 190)]"
26.0,1,"[(2, 'Emergence_Patient', 190)]"
27.0,1,"[(2, 'Emergence_Patient', 190)]"
28.0,1,"[(2, 'Emergence_Patient', 190)]"
29.0,2,"[(2, 'Emergence_Patient', 190), (3, 'Emergence_Patient', 994)]"
29.0,2,"[(2, 'Emergence_Patient', 190), (3, 'Emergence_Patient', 994)]"
30.0,2,"[(2, 'Emergence_Patient', 190), (3, 'Emergence_Patient', 994)]"
30.6,2,"[(2, 'Emergence_Patient', 190), (3, 'Emergence_Patient', 994)]"
30.8,1,"[(2, 'Emergence_Patient', 190)]"
31.0,1,"[(2, 'Emergence_Patient', 190)]"
32.0,1,"[(2, 'Emergence_Patient', 190)]"
32.6,1,"[(2, 'Emergence_Patient', 190)]"
33.0,1,"[(2, 'Emergence_Patient', 190)]"
34.0,1,"[(2, 'Emergence_Patient', 190)]"
35.0,1,"[(2, 'Emergence_Patient', 190)]"
36.0,2,"[(4, 'Emergence_Patient', 75), (2, 'Emergence_Patient', 190)]"
36.0,2,"[(4, 'Emergence_Patient', 75), (2, 'Emergence_Patient', 190)]"
37.0,2,"[(4, 'Emergence_Patient', 75), (2, 'Emergence_Patient', 190)]"
38.0,2,"[(4, 'Emergence_Patient', 75), (2, 'Emergence_Patient', 190)]"
39.0,2,"[(4, 'Emergence_Patient', 75), (2, 'Emergence_Patient', 190)]"
40.0,2,"[(4, 'Emergence_Patient', 75), (2, 'Emergence_Patient', 190)]"
41.0,1,"[(2, 'Emergence_Patient', 190)]"
41.0,1,"[(2, 'Emergence_Patient', 190)]"
42.0,1,"[(2, 'Emergence_Patient', 190)]"
43.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
43.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
44.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
45.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
46.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
46.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
47.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
48.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
49.0,2,"[(2, 'Emergence_Patient', 190), (5, 'Naive_Patient', inf)]"
49.4,1,"[(2, 'Emergence_Patient', 190)]"
50.0,1,"[(2, 'Emergence_Patient', 190)]"
51.0,1,"[(2, 'Emergence_Patient', 190)]"
52.0,1,"[(2, 'Emergence_Patient', 190)]"
53.0,1,"[(2, 'Emergence_Patient', 190)]"
54.0,1,"[(2, 'Emergence_Patient', 190)]"
55.0,1,"[(2, 'Emergence_Patient', 190)]"
56.0,2,"[(2, 'Emergence_Patient', 190), (6, 'Emergence_Patient', 199)]"
56.0,2,"[(2, 'Emergence_Patient', 190), (6, 'Emergence_Patient', 199)]"
57.0,2,"[(2, 'Emergence_Patient', 190), (6, 'Emergence_Patient', 199)]"
57.8,1,"[(2, 'Emergence_Patient', 190)]"
58.0,1,"[(2, 'Emergence_Patient', 190)]"
59.0,1,"[(2, 'Emergence_Patient', 190)]"
59.599999999999994,1,"[(2, 'Emergence_Patient', 190)]"
60.0,1,"[(2, 'Emergence_Patient', 190)]"
61.0,1,"[(2, 'Emergence_Patient', 190)]"
62.0,1,"[(2, 'Emergence_Patient', 190)]"
63.0,1,"[(2, 'Emergence_Patient', 190)]"
64.0,1,"[(2, 'Emergence_Patient', 190)]"
65.0,1,"[(2, 'Emergence_Patient', 190)]"
66.0,2,"[(2, 'Emergence_Patient', 190), (7, 'Nylon_Patient', inf)]"
66.0,2,"[(2, 'Emergence_Patient', 190), (7, 'Nylon_Patient', inf)]"
66.2,1,"[(2, 'Emergence_Patient', 190)]"
66.4,1,"[(2, 'Emergence_Patient', 190)]"
67.0,1,"[(2, 'Emergence_Patient', 190)]"
68.0,1,"[(2, 'Emergence_Patient', 190)]"
69.0,1,"[(2, 'Emergence_Patient', 190)]"
70.0,1,"[(2, 'Emergence_Patient', 190)]"
71.0,1,"[(2, 'Emergence_Patient', 190)]"
72.0,1,"[(2, 'Emergence_Patient', 190)]"
73.0,2,"[(2, 'Emergence_Patient', 190), (8, 'Emergence_Patient', 362)]"
73.0,2,"[(2, 'Emergence_Patient', 190), (8, 'Emergence_Patient', 362)]"
74.0,2,"[(2, 'Emergence_Patient', 190), (8, 'Emergence_Patient', 362)]"
75.0,2,"[(2, 'Emergence_Patient', 190), (8, 'Emergence_Patient', 362)]"
76.0,2,"[(2, 'Emergence_Patient', 190), (8, 'Emergence_Patient', 362)]"
77.0,2,"[(2, 'Emergence_Patient', 190), (8, 'Emergence_Patient', 362)]"
78.0,2,"[(2, 'Emergence_Patient', 190), (8, 'Emergence_Patient', 362)]"
78.2,1,"[(2, 'Emergence_Patient', 190)]"
79.0,1,"[(2, 'Emergence_Patient', 190)]"
80.0,2,"[(2, 'Emergence_Patient', 190), (9, 'Naive_Patient', inf)]"
80.0,2,"[(2, 'Emergence_Patient', 190), (9, 'Naive_Patient', inf)]"
81.0,2,"[(2, 'Emergence_Patient', 190), (9, 'Naive_Patient', inf)]"
82.0,2,"[(2, 'Emergence_Patient', 190), (9, 'Naive_Patient', inf)]"
83.0,2,"[(2, 'Emergence_Patient', 190), (9, 'Naive_Patient', inf)]"
83.4,2,"[(2, 'Emergence_Patient', 190), (9, 'Naive_Patient', inf)]"
